id;starttime;endtime;description;type;subtype;street;polyline;direction
20241025T132736_1042_922;2024-10-25T13:27:36+01:00;2024-12-20T18:00:00+01:00;STV - Bd_Victor Aménagement de la voirie;CONSTRUCTION;;Bd_Victor;48.8327670935763010 2.2884215697166312 48.8335176535915565 2.2865546080570525;ONE_DIRECTION
20240916T080006_4333_1126;2024-09-16T08:00:06+01:00;2025-02-28T16:00:00+01:00;Av_des_Ternes - Aménagement de voirie piste cyclables;CONSTRUCTION;;Av_des_Ternes;48.8782261612879907 2.2956320982000560 48.8777475928357248 2.2977011398219096;ONE_DIRECTION
20210915T124542_1905_959;2021-09-15T12:45:42+01:00;2030-09-15T17:00:00+01:00;"de Guy Moquet jusqu'à la place Clichy interdit au véhicules,sauf (le bus,taxi,vélo); date de fin indefini";ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_de_Clichy;48.8866005595843021 2.3258829056671320 48.8857844212798653 2.3262525739455784;ONE_DIRECTION
20240329T161009_1454_1069;2024-03-29T16:10:09+01:00;2050-03-29T09:00:00+01:00;Belgrand;ROAD_CLOSED;ROAD_CLOSED_EVENT;Belgrand;48.8646466309063783 2.4041489084446028 48.8645043011397675 2.4080744444103361 48.8644721789945180 2.4085078347665672;ONE_DIRECTION
20241003T082352_26_2547;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8580826343978813 2.3495301566806641 48.8585227178299064 2.3482103524655238;ONE_DIRECTION
20241003T082352_29_2505;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8593667042748976 2.3456528431755985 48.8596349548353999 2.3448214172967252;ONE_DIRECTION
20241003T082352_33_2055;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8609491564223077 2.3407406813978486 48.8614986341360549 2.3390796944274990;ONE_DIRECTION
20240916T080006_5241_369;2024-09-16T08:00:06+01:00;2025-02-28T16:00:00+01:00;Av_des_Ternes - Aménagement de voirie piste cyclables;CONSTRUCTION;;Av_Pte_Ternes;48.8814839228951428 2.2817067108912772 48.8809531662755887 2.2840197752247553;ONE_DIRECTION
20241003T082352_23_1061;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rue de Rivoli;48.8569525611540811 2.3537289556893217 48.8572903442405249 2.3523857637496040;ONE_DIRECTION
20241003T082352_25_1062;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8575349514073665 2.3514130212603082 48.8580826343978813 2.3495301566806641;ONE_DIRECTION
20241003T082352_282_569;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8637319223259254 2.3320446920555993 48.8643927447054551 2.3300736682310164;ONE_DIRECTION
20210915T124542_1908_1445;2021-09-15T12:45:42+01:00;2030-09-15T17:00:00+01:00;"de Guy Moquet jusqu'à la place Clichy interdit au véhicules,sauf (le bus,taxi,vélo); date de fin indefini";ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_de_Clichy;48.8849283189359483 2.3266309294573326 48.8836726113451192 2.3272038741403231;ONE_DIRECTION
20240916T080006_4305_1244;2024-09-16T08:00:06+01:00;2025-02-28T16:00:00+01:00;Av_des_Ternes - Aménagement de voirie piste cyclables;CONSTRUCTION;;Av_des_Ternes;48.8794331002341451 2.2910764218652124 48.8800492595858245 2.2884607006386255;ONE_DIRECTION
20240916T080006_4308_1779;2024-09-16T08:00:06+01:00;2025-02-28T16:00:00+01:00;Av_des_Ternes - Aménagement de voirie piste cyclables;CONSTRUCTION;;Av_des_Ternes;48.8799484981832393 2.2882792250291182 48.8792975300939005 2.2910226214597853;ONE_DIRECTION
20240916T080006_5238_2135;2024-09-16T08:00:06+01:00;2025-02-28T16:00:00+01:00;Av_des_Ternes - Aménagement de voirie piste cyclables;CONSTRUCTION;;Av_Pte_Ternes;48.8807638655990218 2.2853836742721305 48.8808019840746368 2.2852021503195004;ONE_DIRECTION
20241003T082352_24_3631;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rue de Rivoli;48.8572903442405249 2.3523857637496040 48.8575349514073665 2.3514130212603082;ONE_DIRECTION
20241003T082352_281_232;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8643927447054551 2.3300736682310164 48.8653312350356686 2.3272589906352534;ONE_DIRECTION
20210915T124542_4047_1655;2021-09-15T12:45:42+01:00;2030-09-15T17:00:00+01:00;"de Guy Moquet jusqu'à la place Clichy interdit au véhicules,sauf (le bus,taxi,vélo); date de fin indefini";ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_de_Clichy;48.8874488274530350 2.3255033452243690 48.8866005595843021 2.3258829056671320;ONE_DIRECTION
20241003T082352_233_2363;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Concorde_Est;48.8653529177397274 2.3215726526650053 48.8654782321331567 2.3218581856339147 48.8659898817757892 2.3222062930148191 48.8660113523959225 2.3227501958170338 48.8661975689311134 2.3232395171558040 48.8664313043376310 2.3234709497407819;ONE_DIRECTION
20241003T082352_279_1892;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8660550420156312 2.3250170913911492 48.8664143349377085 2.3238786009845360 48.8664313043376310 2.3234709497407819;ONE_DIRECTION
20241105T184835_5506_200;2024-11-05T18:48:35+01:00;2024-12-06T06:00:00+01:00;Bretelle_9_accès_Pte_Chapelle Fermeture Travaux;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;Chapelle_bretelle_1;48.9021574895747833 2.3586170263200730 48.9014891036598485 2.3587366406655947 48.9011547072665564 2.3587593252963788 48.9006248140014748 2.3588400995363927;ONE_DIRECTION
20241025T132736_1044_443;2024-10-25T13:27:36+01:00;2024-12-20T18:00:00+01:00;STV - Bd_Victor Aménagement de la voirie;CONSTRUCTION;;Bd_Lefebvre;48.8320447556110224 2.2900524562209128 48.8327670935763010 2.2884215697166312;ONE_DIRECTION
20241105T184835_1795_49;2024-11-05T18:48:35+01:00;2024-12-06T06:00:00+01:00;Bretelle_9_accès_Pte_Chapelle Fermeture Travaux;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;Bretelle_9_acces_Pte_Chapelle;48.9005425010515467 2.3579439028426821 48.9002390521119281 2.3584117166686194 48.8999225673824967 2.3587311798596473 48.8996134432419041 2.3589020573554960 48.8989694670443527 2.3590089897906226;ONE_DIRECTION
20240617T083355_4821_3160;2024-06-17T08:33:55+01:00;2025-12-31T18:00:00+01:00;Maitre d'ouvrage S.A.G.P.  Aménagement de voirie, travaux en multi phases;CONSTRUCTION;;Av_Daumesnil;48.8398057767013327 2.3950967602499755 48.8403271480399113 2.3927878799449553;ONE_DIRECTION
20241003T082352_280_2134;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8653312350356686 2.3272589906352534 48.8660550420156312 2.3250170913911492;ONE_DIRECTION
20240329T161009_1420_56;2024-03-29T16:10:09+01:00;2050-03-29T09:00:00+01:00;Belgrand;ROAD_CLOSED;ROAD_CLOSED_EVENT;Belgrand;48.8647610210920789 2.4013849285854998 48.8646466309063783 2.4041489084446028;ONE_DIRECTION
20201110T102206_1350_109;2020-11-10T10:22:06+01:00;2050-06-14T17:00:00+01:00;Interdiction de circuler aux véhicules à moteur (sauf bus, taxis et livraisons);ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_Gambetta;48.8665126433280861 2.3998165913775256 48.8651375726578152 2.3986075359140870;ONE_DIRECTION
20240617T083355_4880_2210;2024-06-17T08:33:55+01:00;2025-12-31T18:00:00+01:00;Maitre d'ouvrage S.A.G.P.  Aménagement de voirie, travaux en multi phases;CONSTRUCTION;;Pl_Felix_Eboue;48.8394519400436096 2.3951712523075654 48.8393378753361560 2.3957534258193478;ONE_DIRECTION
20240826T174434_4798_3315;2024-08-26T17:44:34+01:00;2025-08-29T18:00:00+01:00;Fayolle - Place Félix Eboué. Aménagement de voirie.;CONSTRUCTION;;Av_Daumesnil;48.8385034488160272 2.3986519740289434 48.8391442883040696 2.3969012065446527 48.8393597685796124 2.3962847822825699;ONE_DIRECTION
20240826T174434_5713_2556;2024-08-26T17:44:34+01:00;2025-08-29T18:00:00+01:00;Fayolle - Place Félix Eboué. Aménagement de voirie.;CONSTRUCTION;;Av_Daumesnil;48.8392666208446116 2.3961171190403960 48.8390508980545519 2.3968029906156159 48.8383989829818361 2.3985490200456163;ONE_DIRECTION
20241003T082352_370_1743;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8559785960858264 2.3579583705948619 48.8562970658354629 2.3565654101056279;ONE_DIRECTION
20240916T080006_4303_3476;2024-09-16T08:00:06+01:00;2025-02-28T16:00:00+01:00;Av_des_Ternes - Aménagement de voirie piste cyclables;CONSTRUCTION;;Av_des_Ternes;48.8806373243139660 2.2853166458288872 48.8800664011491932 2.2877710667322941;ONE_DIRECTION
20201110T102206_1415_2540;2020-11-10T10:22:06+01:00;2050-06-14T17:00:00+01:00;Interdiction de circuler aux véhicules à moteur (sauf bus, taxis et livraisons);ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_Gambetta;48.8716962519072524 2.4043252103199260 48.8697469152808850 2.4025674826905021;ONE_DIRECTION
20240826T174434_4772_3505;2024-08-26T17:44:34+01:00;2025-08-29T18:00:00+01:00;Fayolle - Place Félix Eboué. Aménagement de voirie.;CONSTRUCTION;;Bd_de_Reuilly;48.8395093069471642 2.3964383727273417 48.8395311945953878 2.3977368476558096;ONE_DIRECTION
20240916T080006_4307_1368;2024-09-16T08:00:06+01:00;2025-02-28T16:00:00+01:00;Av_des_Ternes - Aménagement de voirie piste cyclables;CONSTRUCTION;;Av_des_Ternes;48.8787321381368187 2.2941799386279116 48.8794331002341451 2.2910764218652124;ONE_DIRECTION
20240916T080006_4309_2698;2024-09-16T08:00:06+01:00;2025-02-28T16:00:00+01:00;Av_des_Ternes - Aménagement de voirie piste cyclables;CONSTRUCTION;;Av_des_Ternes;48.8792975300939005 2.2910226214597853 48.8785630532941227 2.2941829664578797;ONE_DIRECTION
20240916T080006_5241_1030;2024-09-16T08:00:06+01:00;2025-02-28T16:00:00+01:00;Av_des_Ternes - Aménagement de voirie piste cyclables;CONSTRUCTION;;Av_Pte_Ternes;48.8806792311413076 2.2851445334502247 48.8806373243139660 2.2853166458288872;ONE_DIRECTION
20240928T180420_6923_781;2024-09-28T18:04:20+01:00;2025-03-31T17:00:00+01:00;Trocadéro_Doumer_Wilson Piétonisation;ROAD_CLOSED;ROAD_CLOSED_EVENT;AI_Auteuil_bretelle_7;48.8485147121886811 2.2534266063384658 48.8492112445735529 2.2526615667493664;ONE_DIRECTION
20241003T082352_34_290;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8614986341360549 2.3390796944274990 48.8621582136371160 2.3369915823366560;ONE_DIRECTION
20241003T082352_371_3685;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8554972796506775 2.3600634149766173 48.8559785960858264 2.3579583705948619;ONE_DIRECTION
20241003T082352_373_1359;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;St_Antoine;48.8546092004605015 2.3629157723686092 48.8551065589373579 2.3616887455298552;ONE_DIRECTION
20241003T082352_515_3427;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;St_Antoine;48.8543173510283566 2.3637201767521603 48.8546092004605015 2.3629157723686092;ONE_DIRECTION
20241003T082352_4189_1478;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8631970496358079 2.3337122499579190 48.8637319223259254 2.3320446920555993;ONE_DIRECTION
20240617T083355_4878_522;2024-06-17T08:33:55+01:00;2025-12-31T18:00:00+01:00;Maitre d'ouvrage S.A.G.P.  Aménagement de voirie, travaux en multi phases;CONSTRUCTION;;Pl_Felix_Eboue;48.8396571812658564 2.3964386495761274 48.8397524244466581 2.3963122798262861 48.8399246740862552 2.3954315882157875;ONE_DIRECTION
